CONTEXT,ID,TEXT
LocketInnerOpen,To Sergiu from your Elisa,Elisa写给Sergiu
LocketInnerOpen,I Love You Always,我一直都爱你
LoveSongInner1,YOU,你
LoveSongInner1,YOU ARE HOT LIKE FIRE,你热情似火
LoveSongInner2,you,你
LoveSongInner2,OBJECT OF DESIRE,是我渴求的目标
LoveSongInner3,YOU<br>(AGAIN),你<br>（再次）
LoveSongInner3,WRAP MY HEART IN WIRE,锁住了我的心
LoveSongInner4,ApPROVED,通过
LoveSongInner4,APPROVE MY VISA,请允许我的入境
tweak-passport-field-padding-left,2px,2px
PassportInnerAntegria,ENTRY VISA,入境签证
PassportInnerAntegria,DOB.,出生日期
PassportInnerAntegria,SEX,性别
PassportInnerAntegria,ISS.,签发日
PassportInnerAntegria,EXP.,过期日
PassportInnerAntegria,ANTEGRIA,安特格利亚
tweak-passport-arstotzka-nation,16px,16px
PassportInnerArstotzka,ENTRY VISA,入境签证
PassportInnerArstotzka,DOB.,出生日期
PassportInnerArstotzka,SEX,性别
PassportInnerArstotzka,ISS.,签发日
PassportInnerArstotzka,EXP.,过期日
PassportInnerArstotzka,ARSTOTZKA,阿什托兹卡
PassportInnerImpor,ENTRY VISA,入境签证
PassportInnerImpor,DOB.,出生日期
PassportInnerImpor,SEX,性别
PassportInnerImpor,ISS.,签发日
PassportInnerImpor,EXP.,过期日
PassportInnerImpor,IMPOR,印玻
PassportInnerKolechia,ENTRY VISA,入境签证
PassportInnerKolechia,DOB.,出生日期
PassportInnerKolechia,SEX,性别
PassportInnerKolechia,ISS.,签发日
PassportInnerKolechia,EXP.,过期日
PassportInnerKolechia,KOLECHIA,科洛奇亚
PassportInnerObristan,ENTRY VISA,入境签证
PassportInnerObristan,DOB.,出生日期
PassportInnerObristan,SEX,性别
PassportInnerObristan,ISS.,签发日
PassportInnerObristan,EXP.,过期日
PassportInnerObristan,OBRISTAN,欧布里斯坦
PassportInnerRepublia,ENTRY VISA,入境签证
PassportInnerRepublia,DOB.,出生日期
PassportInnerRepublia,SEX,性别
PassportInnerRepublia,ISS.,签发日
PassportInnerRepublia,EXP.,过期日
PassportInnerRepublia,REPUBLIA,雷帕布里亚
PassportInnerUnitedFed,ENTRY VISA,入境签证
PassportInnerUnitedFed,DOB.,出生日期
PassportInnerUnitedFed,SEX,性别
PassportInnerUnitedFed,ISS.,签发日
PassportInnerUnitedFed,EXP.,过期日
PassportInnerUnitedFed,UNITED FEDERATION,世界联邦
PlaqueOneInner,Ministry of Admission,入境管理部
PlaqueOneInner,RECOGNITION,赞誉
PlaqueOneInner,FOR,为了
PlaqueOneInner,HANG ON WALL,挂在墙上
PlaqueTwoInner,Ministry of Admission,入境管理部
PlaqueTwoInner,RECOGNITION,赞誉
PlaqueTwoInner,FOR,为了
PlaqueTwoInner,HANG ON WALL,挂在墙上
PoisonInnerBack,OPEN,打开
PoisonInnerOpen1,DO NOT TOUCH POWDER,不要触摸粉末
PoisonInnerOpen1,CLOSE,关闭
PoisonInnerOpen2,ALIGN POWDER OVER PASSPORT,将粉末放在护照上
PoisonInnerOpen2,PUSH HARD TO AFFIX,使劲按压进行粘附
PoisonInnerOpen2,CLOSE,关闭
PoliceBadgeInner,MINISTRY OF INFORMATION,情报部
PoliceBadgeInner,Office of Investigation,检查办公室
PoliceBadgeInner,East Grestin Division,东格莱斯丁分部
PoliceBadgeInner,Special Investigator,特别检查员
PoliceBadgeInner,MOI,情报部
PressPassInner,INTERNATIONAL,国际
PressPassInner,PRESS,媒体
PressPassInner,IDENTIFICATION,身份证明
RuleDiploAccess,AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA,必须授权给<br>阿什托兹卡
RuleIssuingCity,PASSPORT <span>ISS.</span> FIELD MUST BE VALID,护照<span>有效期</span>不能过期
RuleSealRequired,DOCUMENT MUST<br>HAVE A SEAL,文件必须<br>有图章
RulesInnerHome,Arstotzkan,阿什托兹卡
RulesInnerHome,Ministry<span>of</span>Admission,入境<span>管理</span>部
RulesInnerHome,RULES,规则
RulesInnerHome,&amp;,&amp;
RulesInnerHome,REGULATIONS,条例
RulesInnerHome,for Inspectors,检查员
RulesInnerHome,CONTENTS,内容
RulesInnerHome,PROPERTY OF,属于
RulesInnerHome,M.O.A,入境管理部
RulesInnerBasic,RULES,规则
RulesInnerRegion,DIPLOMATIC SEALS,外交图章
RulesInnerRegion,PASSPORT,签证
RulesInnerRegion,ISSUING CITIES,签发城市
RulesInnerRegionArstotzka,DISTRICTS,街区
RulesInnerRegionArstotzka,PASSPORT,签证
RulesInnerRegionArstotzka,ISSUING CITIES,签发城市
RulesInnerBooth,INSPECTOR'S BOOTH,边检站
RulesInnerBooth,Shutter,百叶窗
RulesInnerBooth,Counter,柜台
RulesInnerBooth,Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date,指南<br>音频副本<br>公告<br>时间 &amp; 日期
RulesInnerBooth,UPGRADES,升级
RulesInnerBooth,NO UPGRADES<br>INSTALLED,未安装<br>升级
RulesInnerDocs,OFFICIALLY RECOGNIZED,官方认可
RulesInnerDocs,DOCUMENTS,文件
RulesInnerDocs,CONTENTS,内容
RulesInnerEntryPermit,ENTRY PERMIT,入镜许可
RulesInnerEntryPermit,VALID SEALS,有效图章
RulesInnerIdCard,ARSTOTZKAN<br>ID CARD,阿什托兹卡<br>身份证
RulesInnerIdCard,ISSUED TO ALL ARSTOTZKAN CITIZENS,签发给所有阿什托兹卡公民
RulesInnerIdCard,DISTRICTS,街区
RulesInnerIdSupplement,IDENTITY<br>SUPPLEMENT,身份<br>补充
RulesInnerIdSupplement,ISSUED TO ALL QUALIFIED FOREIGNERS,签发给所有有资格的外国人
RulesInnerIdSupplement,FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE,为了验证外国人的外貌
RulesInnerIdSupplement,VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE,只有当指纹记录可用时才验证大拇指指纹
RulesInnerIdSupplement,THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY,这是个短期文件——仔细检查过期日期
RulesInnerAccessPermit,ACCESS PERMIT,访问许可
RulesInnerAccessPermit,VALID SEALS,有效图章
RulesInnerAccessPermit,THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT,这份文件替换所有入镜许可和身份补充文件
RulesInnerWorkPermit,WORK PASS,工作签证
RulesInnerWorkPermit,ISSUED TO ALL QUALIFIED FOREIGN LABOR,签发给所有合格的外国劳工
RulesInnerWorkPermit,VALID SEALS,有效图章
RulesInnerDiplomaticAuth,DIPLOMATIC,外交
RulesInnerDiplomaticAuth,AUTHORIZATION,授权
RulesInnerDiplomaticAuth,VALIDATE SEAL WITH COUNTRY PAGE,确认国家页上的图章
RulesInnerAsylumGrant,GRANT OF<br>ASYLUM,避难<br>许可
RulesInnerAsylumGrant,VALID SEALS,有效图章
RulesInnerAsylumGrant,ALWAYS VERIFY FINGERPRINTS,总是验证指纹
RulesInnerVaccineCert,VACCINE CERTIFICATE,疫苗证
RulesInnerVaccineCert,MINISTRY,医
RulesInnerVaccineCert,OF,疗
RulesInnerVaccineCert,HEALTH,部
RulesInnerVaccineCert,REGULATION DOCUMENT,条例文件
RulesInnerVaccineCert,POLIO VACCINATION REQUIRED FOR ALL ENTRANTS,需要所有过境人员提供脊髓灰质炎疫苗证明
RulesInnerVaccineCert,NO EXCEPTIONS,没有例外
RulesInnerConfiscation,PASSPORT CONFISCATION,签证没收
RulesInnerConfiscation,DROP PASSPORT IN CONFISCATION DRAWER,将护照放入没收抽屉中。
RulesInnerConfiscation,POLICY,政策
RulesInnerConfiscation,PASSPORT MUST BE CONFISCATED BEFORE DETAINING,如果要逮捕他，请在被关押前没收。
RulesInnerConfiscation,MOI,情报部
RulesInnerLast,PROPERTY OF,属于
RulesInnerLast,M.O.A.,入境管理部.
RulesInnerLast,GLORY TO ARSTOTZKA,荣耀属于阿什托兹卡。
RulesInnerLast,Arstotzkan,阿什托兹卡
RulesInnerLast,Ministry of Admission,入境管理部
RulesInnerLast,Rules &amp; Regulations,规章&amp;制度
RulesInnerLast,for Inspectors,检查员
RulesInnerLast,1982-1983 Edition,1982-1983版
RulesInnerLast,DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY,不要散播<br>否则严惩不贷
RulesTabConfL,CONF.,没收的
RulesTabConfR,CONF.,没收的
RulesTabDocsL,DOCS,文件
RulesTabDocsR,DOCS,文件
RulesTabMapL,MAP,地图
RulesTabMapR,MAP,地图
RulesTabRulesL,RULES,规则
RulesTabRulesR,RULES,规则
RulesUpgrade0,TOGGLE INSPECT,切换检查
RulesUpgrade0,SPACE,空格
RulesUpgrade1,TOGGLE STAMP BAR,切换印章条
RulesUpgrade1,TAB,TAB键
RulesUpgrade2,RULEBOOK SHORTCUTS,指南快捷键
RulesUpgrade3,QUICK INSPECT,快速检查
RulesUpgrade3,DOUBLE-CLICK,双击
SeizureSlipInner,Arstotzka Ministry of Admission,阿什托兹卡入境管理部
SeizureSlipInner,PASSPORT SEIZURE SLIP,签证没收错误
SeizureSlipInner,ENTRY VISA,入境签证
SeizureSlipInner,Your passport has been seized.,您的签证已经被没收。
SeizureSlipInner,Contact 1509-6103 for redress.,请联系1509-6103进行补救。
SpyDocsInnerBack,Mating Habits of Lesser Kolechian Waterfowl,科洛奇亚小水鸟的交配习惯
SpyDocsInnerBack,A FULL REPORT,完整报告
SpyDocsInnerBack,Ministry of Information,情报部
TranscriptInner,AUDIO TRANSCRIPT,音频副本
VaccineCertInner,Certificate<span>of</span>Vaccination,疫苗<span>证</span>书
VaccineCertInner,ID#,身份识别代码
VaccineCertInner,DATE,日期
VaccineCertInner,VACCINE,疫苗
VaccineCertInner,Vax valid for 3 years,疫苗有效期为3年
VisaSlipInner,TEMPORARY VISA SLIP,临时签证纸条
VisaSlipInner,ENTRY VISA,入境签证
VisaSlipInner,TO BE USED FOR DENIALS ONLY,仅在拒签时使用
WorkPermitInner,Ministry of Labor,劳务部
WorkPermitInner,Work Pass,工作签证
WorkPermitInner,This pass grants its holder the right to work in a specific field for a limited time.,该签证可以让持有人在有限的时间内在某个领域进行工作。
WorkPermitInner,HOLDER,持有人
WorkPermitInner,FIELD,失败
WorkPermitInner,UNTIL,知道
WorkPermitInner,Keep this pass with you at all times.,随身携带。
EndNews,Kolechian Consensus Reached Over Grestin,科洛奇亚共识涵盖了格莱斯丁
ApartmentClass,CLASS,类别
DetainButton,DETAIN,关押
FingerprintButton,FINGERPRINT,指纹
SearchButton,SEARCH,搜索
EmblemsMOA,M.O.A,入境管理部
EmblemsMOA,M.O.L,劳务部
EmblemsMOL,M.O.L,劳务部
Filer,CONFISCATED DOCUMENTS,没收的文件
Filer,PROPERTY OF,属于
Filer,M.O.A.,入境管理部。
GiveIcon,GIVE,给予
LoadButtonNew,NEW,新的
LoadDay,DAY,日期
LoadDrag,DRAG TO SCROLL,通过拖拽进行滚动
News,The Truth of Arstotzka,阿什托兹卡的真相
News,No Charge,无控诉
ReasonButton,REASON,原因
RifleKill,KILL,杀掉
RifleTranq,TRANQ,麻醉
StampBarMid,ALIGN VISA BENEATH STAMP,将签证放到印章下
Upgrades,SPACE,空格
Upgrades,TAB,TAB键
image:ArskickersInner.png,capture/ArskickersInner.png,capture/ArskickersInner.png
ArskickersInner,HANG ON WALL,挂在墙上
image:BrothelFlyerInner.png,capture/BrothelFlyerInner.png,capture/BrothelFlyerInner.png
BrothelFlyerInner,East Grestin,东格莱斯丁
BrothelFlyerInner,FOR ALL YOUR FANTASIES,为了你所有的梦想
image:PezpertInner.png,capture/PezpertInner.png,capture/PezpertInner.png
PezpertInner,STAMP HERE,在这里盖章
image:SonDrawingInner.png,capture/SonDrawingInner.png,capture/SonDrawingInner.png
SonDrawingInner,hanG on wAll,挂在墙上
image:SonDrawingOuter.png,capture/SonDrawingOuter.png,capture/SonDrawingOuter.png
image:SonDrawingMount.png,capture/SonDrawingMount.png,capture/SonDrawingMount.png
image:VictimPhotoInnerBack.png,capture/VictimPhotoInnerBack.png,capture/VictimPhotoInnerBack.png
image:Emotions.png,export/Emotions.png,export/Emotions.png
image:LoadButtonLatest.png,export/LoadButtonLatest.png,export/LoadButtonLatest.png
image:InkApproved.png,export/InkApproved.png,export/InkApproved.png
image:InkDenied.png,export/InkDenied.png,export/InkDenied.png
image:StampBotApproved.png,export/StampBotApproved.png,export/StampBotApproved.png
image:StampBotDenied.png,export/StampBotDenied.png,export/StampBotDenied.png
image:ReasonStampTop.png,export/ReasonStampTop.png,export/ReasonStampTop.png
image:InkReason.png,export/InkReason.png,export/InkReason.png
image:Arstotzka.png,export/Arstotzka.png,export/Arstotzka.png
image:Intro1.png,export/Intro1.png,export/Intro1.png
image:Obrinspector.png,export/Obrinspector.png,export/Obrinspector.png
image:Shutter.png,export/Shutter.png,export/Shutter.png
news:RANDOM_WEATHER,The Weather,天气
news:RANDOM_SPORTS,Sports,体育
news:RANDOM_ENTERTAINMENT,Entertainment,娱乐
news:RANDOM_POLITICS,Politics,政策
news:FIRST_DAY,Grestin Border Checkpoint Opens At Last!,格莱斯丁边检站终于再次开放了！
news:FIRST_DAY,After 6 Long Years. Can the Ministry of Admission Keep Us Safe?,在漫长的6年之后。入境管理部还能保证我们的安全吗？
news:FIRST_DAY,Families To Reunite,破镜重圆的家庭
news:CHECKPOINT_SUCCESS,Grestin Checkpoint a Success!,格莱斯丁边检站是一个成功！
news:CHECKPOINT_SUCCESS,"Entry Restrictions To Relax, Admit Foreigners",入境条例放松：允许外籍人士来访！
news:CHECKPOINT_SUCCESS,Analysts Upbeat,  GDP稳步上升
news:CHECKPOINT_SUCCESS,Increased Trade And Cooperation Predicted,增加与未来的贸易与合作
news:FIRST_TERRORISTS,Terrorists Strike At Grestin!,恐怖分子攻击了格莱斯丁！
news:FIRST_TERRORISTS,Kolechian Agitators Suspected.,怀疑是科洛奇亚激进分子所为
news:FIRST_TERRORISTS,Checkpoint Lockdown,锁闭检查站
news:FIRST_TERRORISTS,More Guards - More Scrutiny,更多的守卫，更严格的检查
news:BLACKMARKET_EXPLODES,Blackmarket Activity Explodes,黑市活动横行无忌
news:BLACKMARKET_EXPLODES,Government Blames Lax Immigration Controls,政府责备入境管理部检测松散
news:BLACKMARKET_EXPLODES,Checkpoint Expansion Postponed,边境检查点扩建延期
news:WORKPERMIT_FIRST,"Jobs Few, Becoming Fewer",工作机会的减少陷入了恶性循环
news:WORKPERMIT_FIRST,Immigrants Taking Jobs From Locals,外地劳工夺走了本地人的工作机会
news:KOLECHIA_COMPLAINS_SEARCH,Kolechian Leader Files Complaint,科洛奇亚人领导人发出了控诉
news:KOLECHIA_COMPLAINS_SEARCH,Claims Unprovoked Border Searches Violate Rights,声称格莱斯丁边检站对其国家公民的权利进行了侵害
news:AFTER_SUICIDE_BOMBER,Another Attack At Grestin Checkpoint!,格莱斯丁边检站再次遭受袭击！
news:AFTER_SUICIDE_BOMBER,Suicide Bomber Slips Through Security,自杀炸弹袭击者溜过了警卫
news:GENERIC_BOMBER,Grestin Suffers Another Border Attack,格莱斯丁又遭到了自杀式炸弹袭击
news:GENERIC_BOMBER,Suicide Bombings Becoming Routine,自杀炸弹袭击已经变成每天都要上演的故事了
news:PIMP_BUSTED,Human Trafficking Ring Shut Down!,人口贩卖的犯罪链成功瓦解！
news:PIMP_BUSTED,Grestin Checkpoint Officer Nabs Mastermind,格莱斯丁边检站的工作人员抓住了罪魁祸首
news:PIMP_ESCAPED,Dancers At Grestin Club Found Dead!,格莱斯丁俱乐部舞娘被杀！
news:PIMP_ESCAPED,Newly Immigrated Girls Victims Of Human Trafficking,人口贩卖日益昌盛的牺牲品：那些外地女孩
news:KILLERATHLETE,Republian Track Star Wanted For Murder!,被控以谋杀罪的雷帕布里亚田径明星！
news:KILLERATHLETE,Vince Lestrade's Whereabouts Unknown - Has Likely Fled Republia,没人知道Vince Lestrade在哪里——他很可能已经逃出了雷帕布里亚
news:KILLERATHLETE,Vince Lestrade: Profile,案情回顾：
news:KILLERATHLETE,Girlfriend Killed In Jealous Rage?,因为嫉妒而杀掉了女友？
news:KILLERATHLETE_DETAINED,Vince Lestrade Apprehended In Grestin!,Vince Lestrade在格莱斯丁被捕！
news:KILLERATHLETE_DETAINED,Track Champ Looks Quite Guilty Now,田径明星现在看起来非常自责
news:KILLERATHLETE_APPROVED,Vince Lestrade Spotted in Arstotzka,在阿什托兹卡发现了Vince Lestrade
news:KILLERATHLETE_DENIED,Vince Lestrade Apprehended In Kolechia!,在科洛奇亚发现了Vince Lestrade！
news:DIPLOMAT_FIRST,Kolechia Sends Top-Level Diplomat,科洛奇亚派来了最高级别的外交官
news:DIPLOMAT_FIRST,Normalizing Trade Top Issue,贸易正常化是首要议题
news:BUSTED_SPY,Top-level Kolechian Exposed as Arstotzkan Spy!,科洛奇亚高层竟是阿什托兹卡间谍！
news:BUSTED_SPY,"Missing From Post, Presumed Dead",失踪，推测已经死亡
news:BUSTED_SPY_GAVEREALDOCS,Kolechia Cleans House - Eliminates Arstotzkan Spies,科洛奇亚清理门户——消灭阿什托兹卡的间谍
news:BUSTED_SPY_GAVEREALDOCS,Heroic Agents Compromised,英雄特工身份暴露
news:BUSTED_SPY_GAVEFAKEDOCS,Kolechia Cleans House - Attacks Its Own!,科洛奇亚清理门户——自相残杀！
news:BUSTED_SPY_GAVEFAKEDOCS,Round Of Disappearances Blamed On Faulty Evidence,假冒证件导致了一连串的失踪事件！
news:FORGERY_NEWS,Theft At Ministry Of Admission!,入境管理部遭窃！
news:FORGERY_NEWS,Limited Effects - Few Items Stolen,不幸中的万幸——只有极少数财物丢失
news:SECRET_SOCIETY,The History of Arstotzka,阿什托兹卡的历史
news:SECRET_SOCIETY,In Pictures and Words - Mostly Words,图文并茂——大多数是文字
news:CRIMINAL_ACTIVITY,A Criminal's Safe Haven,犯罪者的天堂
news:CRIMINAL_ACTIVITY,Arstotzka Earns Dubious Reputation,阿什托兹卡已声名狼藉
news:LOSING_GUARDS,Ministries Fight Over Staff,内阁成员大打出手
news:LOSING_GUARDS,"Qualified Guards, Soldiers In Demand",急需有资质的警卫，士兵
news:LOSING_GUARDS,"Consolidation, Reassignment At Border",需要巩固边境，重新制定职位
news:LOSING_GUARDS,Still Safe With Smaller Detail?,警卫不足，安全何在？
news:RUNNER_AFTER_TRANQ,Grestin Incident Highlights Security Risks,格莱斯丁的意外暴露了安全风险
news:RUNNER_AFTER_TRANQ,Further Breaches Predicted,预测会有更多的非法入境者
news:BIKE_ATTACK,Daring Bike Attack At Grestin Checkpoint!,格莱斯丁边检站发生了大胆的机车袭击事件！
news:BIKE_ATTACK,Extremists Growing Bolder - Grestin Like Magnet,极端主义者越来越大胆了——格莱斯丁就像是吸引这类人的磁铁一样
news:BORDER_TARGETED,Can The Wall Hold?,我们还守得住吗？
news:BORDER_TARGETED,Border Safety Continually Questioned,边境安全受到持续质疑
news:BIKERUNNER_NEWS,Coordinated Border Breach!,调整边境漏洞！
news:BIKERUNNER_NEWS,Unknown Assailants Swamp Security,不明袭击者摧毁守卫线
news:NOSY_JOURNALIST_APPROVED,Arstotzka's Frail Border,阿什托兹卡的脆弱边境
news:NOSY_JOURNALIST_APPROVED,United Fed Reporter Exposes Lax Protocols,联邦记者刊报：错漏百出的边检流程
news:NOSY_JOURNALIST_DENIED,Arstotzka's Iron Border,阿什托兹卡铜墙铁壁般的边境
news:NOSY_JOURNALIST_DENIED,Int. Media Reveals Entry Visa Bias,情报媒体揭露了入境签证的国籍歧视
news:IDSUPPLEMENT_INTRO,Another Bomber Slips Through!,又一个炸弹袭击者潜入进来了
news:IDSUPPLEMENT_INTRO,Immigrant Screening Falls Short,移民检查暴露出不足
news:IDSUPPLEMENT_INTRO,M.O.A. Gets New Director,入境管理部更换部长
news:IDSUPPLEMENT_INTRO,Stricter Protocols Promised at Border,承诺会在边境执行更严密的规章制度
